Mes/Ano;Ferrovia;TU;TKU
10/2011;FTC;118749;8477503
10/2011;FTL;132686;59381680
10/2011;MRS;12355285;5859365394
10/2011;RMN;1182040;1630932832
10/2011;RMO;464826;164951886
10/2011;RMP;721223;449069554
10/2011;RMS;2456250;1667811317
11/2011;EFC;10015286;8695600334
11/2011;EFPO;31517;18599726
11/2011;EFVM;11374067;6454597394
11/2011;FCA;1686914;1199838883
11/2011;FNSTN;126805;97751341
11/2011;FTC;171690;12431440
11/2011;FTL;115902;53798086
11/2011;MRS;10632122;4987829595
11/2011;RMN;1103344;1524558536
11/2011;RMO;374191;154960191
11/2011;RMP;579800;361106087
11/2011;RMS;2365675;1588111356
12/2011;EFC;11560407;10073914006
12/2011;EFPO;43166;27439845
12/2011;EFVM;10238680;5752023504
12/2011;FCA;1528918;1007957451
12/2011;FNSTN;27355;15346155
12/2011;FTC;214378;15570562
12/2011;FTL;98170;44356563
12/2011;MRS;9824681;4583256464
12/2011;RMN;781576;1086651825
12/2011;RMO;316828;173738563
12/2011;RMP;633709;410929776
12/2011;RMS;2259438;1383039747
01/2012;EFC;9096165;7914998664
01/2012;EFPO;55990;41162072
01/2012;EFVM;8264921;4681553235
01/2012;FCA;1416063;876851774
01/2012;FNSTN;93468;54490647
01/2012;FTC;227434;16786995
01/2012;FTL;95748;56843887
01/2012;MRS;9213368;4345859167
01/2012;RMN;537551;747652858
01/2012;RMO;174416;160369043
01/2012;RMP;490147;312835910
01/2012;RMS;1603627;1067090084
02/2012;EFC;7792373;6795477239
02/2012;EFPO;33558;21029806
02/2012;EFVM;10387299;5931539432
02/2012;FCA;1664370;1176591966
02/2012;FNSTN;416835;332349009
02/2012;FTC;193133;14217014
02/2012;FTL;108848;58495578
02/2012;MRS;10706184;5089989035
02/2012;RMN;1085718;1506912470
02/2012;RMO;288040;142692032
02/2012;RMP;322940;257174573
02/2012;RMS;1621993;1091355796
03/2012;EFC;7636800;6674051430
03/2012;EFPO;33679;16510657
03/2012;EFVM;10411711;5915938999
03/2012;FCA;1644133;1201326029
03/2012;FNSTN;240348;194026135
03/2012;FTC;247106;17903973
03/2012;FTL;130801;62831080
03/2012;MRS;11297294;5377516741
03/2012;RMN;1238634;1717057805
03/2012;RMO;299309;161002263
03/2012;RMP;315498;225927299
03/2012;RMS;2048070;1347872728
04/2012;EFC;9509562;8298986461
04/2012;EFPO;28152;14561375
04/2012;EFVM;10624518;6078685948
04/2012;FCA;1829616;1337408173
04/2012;FNSTN;305470;240980213
04/2012;FTC;216889;15037120
04/2012;FTL;116260;58824192
04/2012;MRS;10852337;5154405344
04/2012;RMN;1295187;1794876199
04/2012;RMO;318957;138036111
04/2012;RMP;338666;240794969
04/2012;RMS;1986455;1270010562
05/2012;EFC;9677525;8464270814
05/2012;EFPO;22844;9281307
05/2012;EFVM;10706061;6148373529
05/2012;FCA;2022719;1443542873
05/2012;FNSTN;289933;228550869
05/2012;FTC;243905;16756836
05/2012;FTL;128913;75444968
05/2012;MRS;11435262;5478749881
05/2012;RMN;1213813;1682741972
05/2012;RMO;374685;155539334
05/2012;RMP;517673;397728225
05/2012;RMS;2203868;1457626323
06/2012;EFC;10022663;8774537179
06/2012;EFPO;11857;8712512
06/2012;EFVM;10467696;5997824749
06/2012;FCA;2004555;1402536289
06/2012;FNSTN;278959;215356275
06/2012;FTC;220670;16261565
06/2012;FTL;134369;72009430
06/2012;MRS;11393021;5470740873
06/2012;RMN;1013860;1398061114
06/2012;RMO;331525;111821995
06/2012;RMP;582083;413149645
06/2012;RMS;1994838;1337453148
07/2012;EFC;10089610;8854480823
07/2012;EFPO;16176;12885714
07/2012;EFVM;10740572;6171463327
07/2012;FCA;2130206;1528836651
07/2012;FNSTN;334694;262644073
07/2012;FTC;303795;15887399
07/2012;FTL;118772;56714390
07/2012;MRS;11714921;5605123212
07/2012;RMN;1264618;1760961024
07/2012;RMO;337002;124543090
07/2012;RMP;542587;416922657
07/2012;RMS;2213072;1486585277
08/2012;EFC;10813080;9603984838
08/2012;EFPO;12177;5543435
08/2012;EFVM;10844983;6260173427
08/2012;FCA;2200041;1589313765
08/2012;FNSTN;367419;291617565
08/2012;FTC;311700;16499241
08/2012;FTL;119322;61800305
08/2012;MRS;11941696;5666223380
08/2012;RMN;1259035;1766934994
08/2012;RMO;418893;135212744
08/2012;RMP;530161;415477080
08/2012;RMS;2315063;1578290865
09/2012;EFC;10527263;9312419695
09/2012;EFPO;22357;10755983
09/2012;EFVM;11062809;6392780813
09/2012;FCA;1945806;1452304022
09/2012;FNSTN;265568;210627403
09/2012;FTC;260579;14100487
09/2012;FTL;110055;52748130
09/2012;MRS;10362665;4861916962
09/2012;RMN;1305299;1827983299
09/2012;RMO;356562;141425458
09/2012;RMP;503750;386930284
09/2012;RMS;2160627;1468072567
10/2012;EFC;10377853;9147651661
10/2012;EFPO;29492;19748032
10/2012;EFVM;11630990;6650330537
10/2012;FCA;2050066;1503656936
10/2012;FNSTN;234947;189087237
10/2012;FTC;291413;15749777
10/2012;FTL;120559;52605116
10/2012;MRS;11973580;5701991596
10/2012;RMN;1302338;1831029363
10/2012;RMO;404192;144869518
10/2012;RMP;577945;439769566
10/2012;RMS;2181119;1493675048
11/2012;EFC;10182996;8952214099
11/2012;EFPO;15800;11609824
11/2012;EFVM;10647015;6095393901
11/2012;FCA;1731409;1262912299
11/2012;FNSTN;213276;172971441
11/2012;FTC;248601;16118210
11/2012;FTL;104047;46584269
11/2012;MRS;9570595;4516444011
11/2012;RMN;1241580;1742854155
11/2012;RMO;389576;140833986
11/2012;RMP;485094;341601260
11/2012;RMS;2106046;1474236393
12/2012;EFC;10702498;9364287204
12/2012;EFPO;24262;17827693
12/2012;EFVM;11479409;6542022748
12/2012;FCA;1832137;1337662008
12/2012;FNSTN;145724;118985061
12/2012;FTC;203017;15032157
12/2012;FTL;101505;47663630
12/2012;MRS;10943060;5176438308
12/2012;RMN;1194368;1673867026
12/2012;RMO;238452;146605552
12/2012;RMP;495639;379953958
12/2012;RMS;1757123;1224945074
01/2013;EFC;9722040;8540444662
01/2013;EFPO;27074;17539999
01/2013;EFVM;10063432;5787164198
01/2013;FCA;1754662;1223145418
01/2013;FNSTN;23856;17241848
01/2013;FTC;244111;18232918
01/2013;FTL;104943;45344211
01/2013;MRS;8178777;3813737121
01/2013;RMN;1039264;1445039278
01/2013;RMO;272807;115243736
01/2013;RMP;371465;281587534
01/2013;RMS;1822996;1258340662
02/2013;EFC;7931753;6966234971
02/2013;EFPO;44223;18705514
02/2013;EFVM;9122904;5246876241
02/2013;FCA;1692809;1255871690
02/2013;FNSTN;122015;96187193
02/2013;FTC;236256;17614216
02/2013;FTL;78307;36614498
02/2013;MRS;8477289;3959295199
02/2013;RMN;962897;1344560515
02/2013;RMO;258032;100387513
02/2013;RMP;327856;263664317
02/2013;RMS;1655453;1154496618
03/2013;EFC;8646482;7503180362
03/2013;EFPO;29223;16461825
03/2013;EFVM;9638526;5526418008
03/2013;FCA;2058319;1590860074
03/2013;FNSTN;349930;268959366
03/2013;FTC;234373;17235423
03/2013;FTL;104579;46223507
03/2013;MRS;10321365;4878291596
03/2013;RMN;1232423;1720857435
03/2013;RMO;327896;114684471
03/2013;RMP;343870;272783436
03/2013;RMS;1817727;1273687478
04/2013;EFC;7407722;6444932441
04/2013;EFPO;21926;9240450
04/2013;EFVM;10460916;6053798563
04/2013;FCA;2093898;1604193227
04/2013;FNSTN;383471;280606462
04/2013;FTC;262368;19436804
04/2013;FTL;96622;41505560
04/2013;MRS;10200725;4756236120
04/2013;RMN;1224721;1702836148
04/2013;RMO;360810;121860645
04/2013;RMP;293500;217933677
04/2013;RMS;1942732;1302778772
05/2013;EFC;8111176;7128632023
05/2013;EFPO;16612;6341343
05/2013;EFVM;10810425;6204778061
05/2013;FCA;2091594;1589128297
05/2013;FNSTN;360340;263461900
05/2013;FTC;247470;18450940
05/2013;FTL;95733;40644067
05/2013;MRS;11186818;5276301371
05/2013;RMN;1367825;1895230275
05/2013;RMO;399720;141195516
05/2013;RMP;407413;310679354
05/2013;RMS;2090062;1405784038
06/2013;EFC;9549261;8465577382
06/2013;EFPO;4942;1251220
06/2013;EFVM;10503758;6041025812
06/2013;FCA;2105448;1561094509
06/2013;FNSTN;356254;258820572
06/2013;FTC;246550;18280230
06/2013;FTL;94950;37972129
06/2013;MRS;11109459;5221787367
06/2013;RMN;1253293;1727602053
06/2013;RMO;377263;108756017
06/2013;RMP;465451;358545574
06/2013;RMS;1923294;1301095655
07/2013;EFC;8936581;7882054848
07/2013;EFPO;9051;2637056
07/2013;EFVM;11376170;6519785513
07/2013;FCA;2162468;1689100789
07/2013;FNSTN;364536;273348333
07/2013;FTC;279202;20799700
07/2013;FTL;111366;49188660
07/2013;MRS;11842113;5527738636
07/2013;RMN;1157670;1571916780
07/2013;RMO;411595;116806102
07/2013;RMP;550409;412320103
07/2013;RMS;1921327;1319397297
08/2013;EFC;11387284;10011701984
08/2013;EFPO;7583;3904282
08/2013;EFVM;11240416;6466529721
08/2013;FCA;2237454;1686867849
08/2013;FNSTN;388397;301453245
08/2013;FTC;296035;21759804
08/2013;FTL;111713;50126773
08/2013;MRS;11839995;5560885923
08/2013;RMN;1321281;1820421835
08/2013;RMO;499031;135237351
08/2013;RMP;606400;429844726
08/2013;RMS;2210383;1521744553
09/2013;EFC;10952499;9624249987
09/2013;EFPO;10484;5504940
09/2013;EFVM;11427783;6577393892
09/2013;FCA;2064540;1564180444
09/2013;FNSTN;378608;295120434
09/2013;FTC;280527;20361577
09/2013;FTL;108259;49892461
09/2013;MRS;12387851;5882606834
09/2013;RMN;1281772;1884847081
09/2013;RMO;460985;123119682
09/2013;RMP;500417;364013142
09/2013;RMS;2035369;1406576228
10/2013;EFC;10026809;8783978471
10/2013;EFPO;13399;8007158
10/2013;EFVM;11672120;6726368418
10/2013;FCA;2126590;1634982289
10/2013;FNSTN;219414;174825909
10/2013;FTC;334596;24481676
10/2013;FTL;113877;52494505
10/2013;MRS;12510613;5897412224
10/2013;RMN;1381431;2107586545
10/2013;RMO;497319;135343367
10/2013;RMP;480025;366390116
10/2013;RMS;2058631;1434917459
11/2013;EFC;10675061;9396970840
11/2013;EFPO;12583;4632646
11/2013;EFVM;11091172;6356667395
11/2013;FCA;1994662;1535862934
11/2013;FNSTN;141928;119312130
11/2013;FTC;311260;22647890
11/2013;FTL;92140;40897588
11/2013;MRS;11998158;5654691579
11/2013;RMN;1120253;1730633810
11/2013;RMO;404949;149674055
11/2013;RMP;442119;294463659
11/2013;RMS;1866094;1268093797
12/2013;EFC;11659288;10262542179
12/2013;EFPO;13279;4123383
12/2013;EFVM;7888337;4502358568
12/2013;FCA;1907697;1427428486
12/2013;FNSTN;126290;108067768
12/2013;FTC;267529;19518355
12/2013;FTL;99103;43621773
12/2013;MRS;10853152;5052742563
12/2013;RMN;1073429;1642537578
12/2013;RMO;354829;120279853
12/2013;RMP;546827;338287883
12/2013;RMS;1595659;1142369554
01/2014;EFC;10369308;9118866278
01/2014;EFPO;25944;11854273
01/2014;EFVM;10479347;6011811732
01/2014;FCA;1609422;1136894532
01/2014;FNSTN;27658;26340127
01/2014;FTC;281507;20677829
01/2014;FTL;100178;43787231
01/2014;MRS;10272647;4765057019
01/2014;RMN;649846;942508768
01/2014;RMO;353639;131583918
01/2014;RMP;573007;390954114
01/2014;RMS;1378422;1014634862
02/2014;EFC;7845514;6877383536
02/2014;EFPO;38325;12399485
02/2014;EFVM;8736155;4971370978
02/2014;FCA;1485242;1107485029
02/2014;FNSTN;210054;163738031
02/2014;FTC;284073;20816128
02/2014;FTL;87798;43846153
02/2014;MRS;9437451;4373789744
02/2014;RMN;1101983;1698679325
02/2014;RMO;398104;121803583
02/2014;RMP;382735;270993890
02/2014;RMS;1543132;1058249871
03/2014;EFC;9286669;8151425605
03/2014;EFPO;34964;10990432
03/2014;EFVM;10283731;5873846238
03/2014;FCA;1713305;1368255173
03/2014;FNSTN;408476;330507760
03/2014;FTC;293462;21767052
03/2014;FTL;85258;41642609
03/2014;MRS;11130447;5150240206
03/2014;RMN;1366718;2109188971
03/2014;RMO;468852;133351468
03/2014;RMP;463292;325767022
03/2014;RMS;1839359;1273097450
04/2014;EFC;8711706;7665794255
04/2014;EFPO;51482;24126450
04/2014;EFVM;9641474;5525973010
04/2014;FCA;2070751;1628143371
04/2014;FNSTN;446047;359014600
04/2014;FTC;318406;23847346
04/2014;FTL;103662;51349999
04/2014;MRS;10068954;4678752672
04/2014;RMN;1266080;1938582274
04/2014;RMO;430702;123885131
04/2014;RMP;415070;272161010
04/2014;RMS;1737652;1180959866
05/2014;EFC;10402368;9167565202
05/2014;EFPO;43804;18205288
05/2014;EFVM;11029493;6352911745
05/2014;FCA;2276178;1795421835
05/2014;FNSTN;394452;314943160
05/2014;FTC;351160;25962105
05/2014;FTL;101466;50069217
05/2014;MRS;12598874;5921861220
05/2014;RMN;1295710;1985161956
05/2014;RMO;425888;121848544
05/2014;RMP;492169;343001440
05/2014;RMS;1909004;1283463410
06/2014;EFC;9172352;8099703416
06/2014;EFPO;20782;8295438
06/2014;EFVM;10843678;6254476691
06/2014;FCA;2187437;1667418648
06/2014;FNSTN;407729;323969691
06/2014;FTC;317815;23536873
06/2014;FTL;109023;51786098
06/2014;MRS;12288978;5749528302
06/2014;RMN;1165909;1772043478
06/2014;RMO;445913;118694789
06/2014;RMP;483386;349399866
06/2014;RMS;1719601;1150212765
07/2014;EFC;9122984;8005643192
07/2014;EFPO;47426;20893195
07/2014;EFVM;10824037;6248852986
07/2014;FCA;2191798;1698861157
07/2014;FNSTN;454605;368146221
07/2014;FTC;324253;24191780
07/2014;FTL;117947;56301717
07/2014;MRS;12477654;5823690050
07/2014;RMN;1341803;2041152727
07/2014;RMO;535513;144653843
07/2014;RMP;524205;391858014
07/2014;RMS;1971583;1335868887
08/2014;EFC;9854378;8686662205
08/2014;EFPO;39769;17277129
08/2014;EFVM;10754874;6211468642
08/2014;FCA;1896887;1344364068
08/2014;FNSTN;454855;351252090
08/2014;FTC;347250;26305982
08/2014;FTL;119375;56720887
08/2014;MRS;12464826;5794756810
08/2014;RMN;1343437;2041253163
08/2014;RMO;534691;136705598
08/2014;RMP;494427;362017168
08/2014;RMS;1955578;1315560747
09/2014;EFC;8704017;7628456517
09/2014;EFPO;20979;9950018
09/2014;EFVM;11107386;6422959876
09/2014;FCA;2125664;1556824734
09/2014;FNSTN;386574;296512515
09/2014;FTC;349107;26203691
09/2014;FTL;115779;55298735
09/2014;MRS;11228101;5197081147
09/2014;RMN;1430759;2209308846
09/2014;RMO;508450;138438443
09/2014;RMP;421808;313609740
09/2014;RMS;2000974;1363969154
10/2014;EFC;11430072;10055091305
10/2014;EFPO;18932;9129822
10/2014;EFVM;11351641;6587743935
10/2014;FCA;2203158;1618828067
10/2014;FNSTN;424441;341794607
10/2014;FTC;353193;26738189
10/2014;FTL;97703;45478345
10/2014;MRS;12696850;5838415946
10/2014;RMN;1491178;2300403035
10/2014;RMO;497437;123364155
10/2014;RMP;396789;297054731
10/2014;RMS;1907624;1305809383
11/2014;EFC;11292626;9931517439
11/2014;EFPO;8960;5855841
11/2014;EFVM;10015885;5769951130
11/2014;FCA;2208799;1712435276
11/2014;FNSTN;395988;332324967
11/2014;FTC;343950;25962305
11/2014;FTL;84460;56175351
11/2014;MRS;11837963;5474218617
11/2014;RMN;1314711;2025084235
11/2014;RMO;508503;116302576
11/2014;RMP;363318;267870146
11/2014;RMS;1895081;1272257802
12/2014;EFC;12262352;10789157756
12/2014;EFPO;6300;2568889
12/2014;EFVM;11117181;6438227823
12/2014;FCA;2223557;1663941162
12/2014;FNSTN;358774;299415695
12/2014;FTC;290253;22124110
12/2014;FTL;95005;51511976
12/2014;MRS;12323976;5666142115
12/2014;RMN;1241561;1885039289
12/2014;RMO;492758;107237003
12/2014;RMP;429693;321014870
12/2014;RMS;1696082;1138271324
01/2015;EFC;10911109;9573833058
01/2015;EFPO;45217;23439147
01/2015;EFVM;10784718;6248465512
01/2015;FCA;1805488;1149986066
01/2015;FNSTN;155976;114171673
01/2015;FTC;266409;20321572
01/2015;FTL;86581;42543600
01/2015;MRS;11227884;5162441543
01/2015;RMN;817341;1219604121
01/2015;RMO;391038;94247629
01/2015;RMP;432365;321594174
01/2015;RMS;1462466;973610442
02/2015;EFC;8719767;7665561506
02/2015;EFPO;50920;18187588
02/2015;EFVM;9563790;5518985177
02/2015;FCA;1814545;1365379187
02/2015;FNSTN;246491;207219998
02/2015;FTC;285895;21962404
02/2015;FTL;73694;37886619
02/2015;MRS;10073415;4619303564
02/2015;RMN;974170;1489675569
02/2015;RMO;313959;93978356
02/2015;RMP;305657;231025384
02/2015;RMS;1419332;955375840
03/2015;EFC;9996237;8780284875
03/2015;EFPO;51278;21238237
03/2015;EFVM;10283697;5930022890
03/2015;FCA;2204295;1801150803
03/2015;FNSTN;511312;447730056
03/2015;FTC;257269;20029388
03/2015;FTL;94360;44076316
03/2015;MRS;11346671;5226699567
03/2015;RMN;1361844;2112004082
03/2015;RMO;493504;101130801
03/2015;RMP;351619;264962421
03/2015;RMS;1789542;1198348507
04/2015;EFC;10148522;8919777434
04/2015;EFPO;35810;11976058
04/2015;EFVM;10150140;5892442375
04/2015;FCA;2191767;1748508439
04/2015;FNSTN;576064;493293635
04/2015;FTC;296774;23113075
04/2015;FTL;91353;47000799
04/2015;MRS;11213789;5239053532
04/2015;RMN;1424090;2197323421
04/2015;RMO;506381;105387137
04/2015;RMP;298176;219485137
04/2015;RMS;1749668;1164022350
05/2015;EFC;10880677;9539665906
05/2015;EFPO;21838;9403984
05/2015;EFVM;11693627;6751859771
05/2015;FCA;2219313;1739584627
05/2015;FNSTN;628754;548561276
05/2015;FTC;308104;23961111
05/2015;FTL;110478;52244175
05/2015;MRS;11629840;5372606048
05/2015;RMN;1463331;2262834679
05/2015;RMO;530023;115557782
05/2015;RMP;448904;330856432
05/2015;RMS;1829868;1235787670
06/2015;EFC;11936347;10518519979
06/2015;EFPO;26494;7590631
06/2015;EFVM;11058134;6401926887
06/2015;FCA;2287167;1829374919
06/2015;FNSTN;583761;494871949
06/2015;FTC;300544;23339583
06/2015;FTL;102322;47363304
06/2015;MRS;11749634;5395112901
06/2015;RMN;1242174;1920186740
06/2015;RMO;404863;93670929
06/2015;RMP;424548;323117746
06/2015;RMS;1912866;1287656980
07/2015;EFC;11798961;10391397413
07/2015;EFPO;28047;8855676
07/2015;EFVM;12078257;7033676465
07/2015;FCA;2336198;1931364858
07/2015;FNSTN;544172;447792513
07/2015;FTC;307617;23798435
07/2015;FTL;113460;47908319
07/2015;MRS;11882159;5437888552
07/2015;RMN;1515728;2384051599
07/2015;RMO;395629;78708361
07/2015;RMP;389694;310671475
07/2015;RMS;1800307;1189602283
08/2015;EFC;10279458;9030533456
08/2015;EFPO;20476;8253938
08/2015;EFVM;11693588;6791639264
08/2015;FCA;2397486;2040330320
08/2015;FNSTN;476434;408537418
08/2015;FTC;300662;23200755
08/2015;FTL;116058;49969048
08/2015;MRS;11884262;5528242446
08/2015;RMN;1597944;2508115419
08/2015;RMO;438189;94515263
08/2015;RMP;437110;344576538
08/2015;RMS;2050271;1383442433
09/2015;EFC;11432058;10076891425
09/2015;EFPO;26410;7769584
09/2015;EFVM;11696763;6808242024
09/2015;FCA;2392819;1982282075
09/2015;FNSTN;524405;451515214
09/2015;FTC;300729;23375705
09/2015;FTL;119054;54333152
09/2015;MRS;11913569;5548445812
09/2015;RMN;1590860;2509641174
09/2015;RMO;319110;73553456
09/2015;RMP;421288;334707810
09/2015;RMS;1888194;1270622905
10/2015;EFC;12482387;11001091970
10/2015;EFPO;35424;9545956
10/2015;EFVM;11899224;6955696705
10/2015;FCA;2389413;1903054873
10/2015;FNSTN;518269;461274845
10/2015;FTC;286558;22271042
10/2015;FTL;118176;51748575
10/2015;MRS;13059955;6112025336
10/2015;RMN;1707830;2684548303
10/2015;RMO;307515;76484490
10/2015;RMP;443421;356370869
10/2015;RMS;1854306;1253754636
11/2015;EFC;11995344;10602120288
11/2015;EFPO;16427;3989397
11/2015;EFVM;10226303;5939289333
11/2015;FCA;2228934;1761272775
11/2015;FNSTN;491403;428954213
11/2015;FTC;295718;23085656
11/2015;FTL;92903;43027538
11/2015;MRS;11576181;5444332841
11/2015;RMN;1601434;2529112171
11/2015;RMO;216221;69643936
11/2015;RMP;402273;323361949
11/2015;RMS;1641191;1128307720
12/2015;EFC;14132275;12483922882
12/2015;EFPO;13045;3167634
12/2015;EFVM;11847316;6884673982
12/2015;FCA;2244224;1868939637
12/2015;FNSTN;342415;292889661
12/2015;FTC;320780;24660925
12/2015;FTL;101683;46222036
12/2015;MRS;12137832;5667989900
12/2015;RMN;1450558;2292976080
12/2015;RMO;243246;70023904
12/2015;RMP;378638;306384892
12/2015;RMS;1539780;1017550706
01/2016;EFC;12475570;11001073584
01/2016;EFPO;48107;11640170
01/2016;EFVM;9308258;5310281917
01/2016;FCA;1699888;1286635207
01/2016;FNSTN;240109;188874938
01/2016;FTC;270721;20831919
01/2016;FTL;104885;54639203
01/2016;MRS;10480013;4791134892
01/2016;RMN;1217365;1905855936
01/2016;RMO;251462;47552077
01/2016;RMP;294951;245775744
01/2016;RMS;1144671;735242184
02/2016;EFC;11894642;10493144611
02/2016;EFPO;64206;15447924
02/2016;EFVM;9500993;5469294655
02/2016;FCA;1900638;1530755991
02/2016;FNSTN;342910;293719869
02/2016;FTC;249168;19388947
02/2016;FTL;95867;47334921
02/2016;MRS;10355050;4768092476
02/2016;RMN;1287320;2026512054
02/2016;RMO;196831;51960940
02/2016;RMP;312548;258293333
02/2016;RMS;1321297;861006844
03/2016;EFC;12474033;11017211869
03/2016;EFPO;66852;19948718
03/2016;EFVM;9658684;5454508062
03/2016;FCA;2229352;1792217226
03/2016;FNSTN;748173;699839709
03/2016;FTC;249800;19594231
03/2016;FTL;113431;57235867
03/2016;MRS;12188738;5619374940
03/2016;RMN;1626952;2569877206
03/2016;RMO;253045;64051594
03/2016;RMP;296066;252514736
03/2016;RMS;1602838;1036132041
04/2016;EFC;12045380;10572357067
04/2016;EFPO;51713;15192946
04/2016;EFVM;10643477;6067105892
04/2016;FCA;2327164;1928556932
04/2016;FNSTN;681880;645797200
04/2016;FTC;245592;19104304
04/2016;FTL;99555;54112214
04/2016;MRS;12089161;5624700308
04/2016;RMN;1696301;2674123641
04/2016;RMO;266680;66406894
04/2016;RMP;275684;230850936
04/2016;RMS;1608431;1036012610
05/2016;EFC;12396456;10850867357
05/2016;EFPO;34635;10483742
05/2016;EFVM;11249808;6510677385
05/2016;FCA;2389059;1959361574
05/2016;FNSTN;760364;679581215
05/2016;FTC;243536;18734556
05/2016;FTL;112845;53707620
05/2016;MRS;12096235;5639103829
05/2016;RMN;1379134;2166238934
05/2016;RMO;331103;75654469
05/2016;RMP;484786;386793550
05/2016;RMS;1659280;1068496128
06/2016;EFC;11520392;10085296005
06/2016;EFPO;44794;13008267
06/2016;EFVM;10507106;6035816132
06/2016;FCA;2200368;1699095572
06/2016;FNSTN;584745;530031280
06/2016;FTC;239732;18488123
06/2016;FTL;111306;57382907
06/2016;MRS;11926786;5538948257
06/2016;RMN;926946;1409591376
06/2016;RMO;320989;68278458
06/2016;RMP;722783;525784850
06/2016;RMS;1687361;1092728260
07/2016;EFC;13406391;11734701018
07/2016;EFPO;48323;14288146
07/2016;EFVM;11793875;6835470729
07/2016;FCA;2252131;1674212540
07/2016;FNSTN;518571;470545947
07/2016;FTC;248478;19181634
07/2016;FTL;109936;54871556
07/2016;MRS;13167804;6163079691
07/2016;RMN;1508880;2373688399
07/2016;RMO;360541;84258585
07/2016;RMP;468412;374681418
07/2016;RMS;1760754;1151112891
08/2016;EFC;13532855;11852840593
08/2016;EFPO;27043;9707704
08/2016;EFVM;11879907;6876272375
08/2016;FCA;2394300;1868433015
08/2016;FNSTN;312406;275939960
08/2016;FTC;240062;18592068
08/2016;FTL;124252;58799101
08/2016;MRS;12697538;5950895031
08/2016;RMN;1559002;2391440791
08/2016;RMO;366380;77923984
08/2016;RMP;496107;403244311
08/2016;RMS;1845534;1212362262
09/2016;EFC;13911478;12180311771
09/2016;EFPO;15463;5515303
09/2016;EFVM;11269788;6513089428
09/2016;FCA;2224285;1599978607
09/2016;FNSTN;245445;199895840
09/2016;FTC;231458;17698800
09/2016;FTL;103096;48493797
09/2016;MRS;12115273;5651891655
09/2016;RMN;1448432;2216360151
09/2016;RMO;312793;70594973
09/2016;RMP;534704;429482517
09/2016;RMS;1669838;1082918101
10/2016;EFC;13269984;11627448265
10/2016;EFPO;9200;3187076
10/2016;EFVM;11909065;6894453454
10/2016;FCA;1968409;1311120692
10/2016;FNSTN;213469;171911637
10/2016;FTC;239186;18389845
10/2016;FTL;126135;58841143
10/2016;MRS;11947730;5548628363
10/2016;RMN;758640;1080190427
10/2016;RMO;295010;70880892
10/2016;RMP;848862;580016038
10/2016;RMS;1458057;928530315
11/2016;EFC;13765525;12072588208
11/2016;EFPO;15364;5571545
11/2016;EFVM;10587977;6119663717
11/2016;FCA;1902658;1354837442
11/2016;FNSTN;179686;141375458
11/2016;FTC;241939;18504101
11/2016;FTL;113348;56533262
11/2016;MRS;11116329;5160187156
11/2016;RMN;658982;958712685
11/2016;RMO;294157;68712279
11/2016;RMP;735605;486970314
11/2016;RMS;1298805;817567141
12/2016;EFC;14559593;12780373287
12/2016;EFPO;17276;7678739
12/2016;EFVM;11292057;6472205653
12/2016;FCA;1504438;1039923412
12/2016;FNSTN;203409;158631515
12/2016;FTC;198757;15251265
12/2016;FTL;105126;50393416
12/2016;MRS;11320533;5189634666
12/2016;RMN;838339;1225043490
12/2016;RMO;255757;50753503
12/2016;RMP;542909;381151521
12/2016;RMS;1287823;809291671
01/2017;EFC;14089142;12356748720
01/2017;EFPO;31087;14207518
01/2017;EFVM;11042296;6386484157
01/2017;FCA;1681272;1013989371
01/2017;FNSTN;211669;169180862
01/2017;FTC;232313;17721482
01/2017;FTL;106947;52245438
01/2017;MRS;10341846;4742671504
01/2017;RMN;859204;1324569333
01/2017;RMO;277069;39978460
01/2017;RMP;438020;358906157
01/2017;RMS;1078795;664217638
02/2017;EFC;11847411;10433946651
02/2017;EFPO;88446;31195748
02/2017;EFVM;10052104;5751163466
02/2017;FCA;2051277;1474994092
02/2017;FNSTN;434236;389674450
02/2017;FTC;225929;17308370
02/2017;FTL;88453;47718576
02/2017;MRS;10903896;5083811942
02/2017;RMN;1493877;2334142564
02/2017;RMO;275327;31950940
02/2017;RMP;258661;243872126
02/2017;RMS;1318347;831219222
03/2017;EFC;12951649;11445727790
03/2017;EFPO;66064;16587158
03/2017;EFVM;11093366;6277691032
03/2017;FCA;2736884;2027410262
03/2017;FNSTN;927005;885929149
03/2017;FTC;242334;18677122
03/2017;FTL;104364;50928478
03/2017;MRS;11995429;5571068216
03/2017;RMN;1771224;2773098406
03/2017;RMO;315493;69640726
03/2017;RMP;239063;221286951
03/2017;RMS;1675861;1079716964
04/2017;EFC;12482798;11060023995
04/2017;EFPO;36149;11982964
04/2017;EFVM;9567697;5361092391
04/2017;FCA;2747297;2052218052
04/2017;FNSTN;889254;854012076
04/2017;FTC;195321;14885783
04/2017;FTL;96152;46365525
04/2017;MRS;11216441;5218944960
04/2017;RMN;1657779;2590734459
04/2017;RMO;303820;67396728
04/2017;RMP;306950;243689062
04/2017;RMS;1708155;1065973655
05/2017;EFC;14014629;12447038412
05/2017;EFPO;36001;9771214
05/2017;EFVM;11170757;6335225742
05/2017;FCA;2923489;2116225844
05/2017;FNSTN;966615;872826854
05/2017;FTC;218316;16656290
05/2017;FTL;111386;55860601
05/2017;MRS;12454355;5770384002
